Product Name,Product Description,Product Link,Product unit price,Product amount,Product Cost,Total (Before Tax + Shipping),Total (Without Shipping),Total
Throttle sensor,Twist Throttle Handle,https://www.aliexpress.us/item/3256806514034716.html?spm=a2g0o.cart.0.0.c69c38da9vOmau&mp=1&pdp_npi=5%40dis%21USD%21USD%204.63%21USD%201.99%21%21USD%201.99%21%21%21%40210337c117627140379221353e809b%2112000038044279289%21ct%21US%213108417632%21%211%210&_gl=1*1l540z1*_gcl_au*MTU0MTkyODcyNS4xNzYwMTQ1Mzcx*_ga*MjA2ODc0MDM2Ni4xNzYxNDQ1Mzgy*_ga_VED1YSGNC7*czE3NjI3MTQwMzEkbzMkZzEkdDE3NjI3MTQwMzkkajUyJGwwJGgw&gatewayAdapt=glo2usa,1.99,1,$1.99,,,
Brake sensor,Brake/shut off sensor,https://www.aliexpress.us/item/3256805985764030.html?spm=a2g0o.cart.0.0.c69c38da9vOmau&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.66%21USD%202.90%21%21USD%202.90%21%21%21%40210337c117627140379221353e809b%2112000036110573258%21ct%21US%213108417632%21%211%210&_gl=1*1sw3duy*_gcl_au*MTU0MTkyODcyNS4xNzYwMTQ1Mzcx*_ga*MjA2ODc0MDM2Ni4xNzYxNDQ1Mzgy*_ga_VED1YSGNC7*czE3NjI3MTQwMzEkbzMkZzEkdDE3NjI3MTQwNDgkajQzJGwwJGgw&gatewayAdapt=glo2usa,5.9,1,$5.90,,,
MOSFET Heatsinks,Heatsink for MOSFETs,https://www.aliexpress.us/item/3256803892794950.html?spm=a2g0o.productlist.main.1.13c62810kwHGNA&algo_pvid=aa161256-cc13-4f43-9ac4-79cdfe83af14&algo_exp_id=aa161256-cc13-4f43-9ac4-79cdfe83af14-0&pdp_ext_f=%7B%22order%22%3A%222400%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.12%211.99%21%21%2115.01%2114.09%21%402101d83f17614455184686341ee64b%2112000030401636260%21sea%21US%213108417632%21X%211%210%21n_tag%3A-29919%3Bd%3A487c6e50%3Bm03_new_user%3A-29895%3BpisId%3A5000000190801969&curPageLogUid=eevL79xpdQiV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004079109702%7C_p_origin_prod%3A,0.2,10,$1.99,,,
M8 Connector 2P,Connector for brake sensor,https://www.aliexpress.us/item/3256805115817349.html?spm=a2g0o.cart.0.0.765938daCeJANz&mp=1&pdp_npi=5%40dis%21USD%21USD%202.97%21USD%202.97%21%21USD%202.94%21%21%21%402101f11417614462386586215ea526%2112000032551815683%21ct%21US%213108417632%21%211%210&_gl=1*j0wktf*_gcl_au*MTU0MTkyODcyNS4xNzYwMTQ1Mzcx*_ga*MjA2ODc0MDM2Ni4xNzYxNDQ1Mzgy*_ga_VED1YSGNC7*czE3NjE0NDUzODIkbzEkZzEkdDE3NjE0NDYyNDAkajMkbDAkaDA.&gatewayAdapt=glo2usa,2.97,1,$2.97,,,
M8 Connectors 3P,Connectors for PAS and Throttle,https://www.aliexpress.us/item/3256805115817349.html?spm=a2g0o.cart.0.0.765938daCeJANz&mp=1&pdp_npi=5%40dis%21USD%21USD%206.99%21USD%206.99%21%21USD%206.92%21%21%21%402101f11417614462386586215ea526%2112000032551815696%21ct%21US%213108417632%21%211%210&_gl=1*j0wktf*_gcl_au*MTU0MTkyODcyNS4xNzYwMTQ1Mzcx*_ga*MjA2ODc0MDM2Ni4xNzYxNDQ1Mzgy*_ga_VED1YSGNC7*czE3NjE0NDUzODIkbzEkZzEkdDE3NjE0NDYyNDAkajMkbDAkaDA.&gatewayAdapt=glo2usa,1.75,4,$6.99,,,
M8 Connector 6P,Connector for Display,https://www.aliexpress.us/item/3256805115817349.html?spm=a2g0o.cart.0.0.765938daCeJANz&mp=1&pdp_npi=5%40dis%21USD%21USD%203.46%21USD%203.46%21%21USD%203.43%21%21%21%402101f11417614462386586215ea526%2112000038599641962%21ct%21US%213108417632%21%211%210&_gl=1*1hyuy1y*_gcl_au*MTU0MTkyODcyNS4xNzYwMTQ1Mzcx*_ga*MjA2ODc0MDM2Ni4xNzYxNDQ1Mzgy*_ga_VED1YSGNC7*czE3NjE0NDUzODIkbzEkZzEkdDE3NjE0NDYyNDMkajYwJGwwJGgw&gatewayAdapt=glo2usa,3.46,1,$2.97,,,
MOSFETs,MOSFETs,https://www.digikey.com/en/products/detail/infineon-technologies/IRFB4110PBFXKMA1/22157630,3.06,6,$18.36,,,
Capacitor 680uF,big cap for controller ,https://www.digikey.com/en/products/detail/chemi-con/EKZN630ELL681MK30S/4843904,1.53,1,$1.53,,,
Capacitor 330uF,big cap for controller ,https://www.digikey.com/en/products/detail/rubycon/25ZLJ330M8X11-5/3134207,0.54,1,$0.54,,,
Screw Terminal,Phase Connector,https://www.digikey.com/en/products/detail/keystone-electronics/8196/316832,1.24,3,$3.72,,,
Ring Connector,Phase Wire connector,https://www.digikey.com/en/products/detail/molex/0191930245/1952714,0.53,3,$1.59,,,
GPS module,GPS module,https://www.aliexpress.us/item/3256806636967867.html?spm=a2g0o.productlist.main.8.5f294519Xppi6X&aem_p4p_detail=202511091049282176669761148710002202146&algo_pvid=408d6edc-35f6-4694-a5b1-e4b75c03ea1d&algo_exp_id=408d6edc-35f6-4694-a5b1-e4b75c03ea1d-7&pdp_ext_f=%7B%22order%22%3A%22161%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.18%212.18%21%21%2136.69%2115.43%21%402101dedf17627141680806432e8079%2112000038417528859%21sea%21US%213108417632%21X%211%210%21n_tag%3A-29919%3Bd%3A487c6e50%3Bm03_new_user%3A-29895%3BpisId%3A5000000191724427&curPageLogUid=PXVcwqFInPA3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006823282619%7C_p_origin_prod%3A&search_p4p_id=202511091049282176669761148710002202146_2,6.39,1,$6.39,,,
M8 Connector 5P,Connector for ENCODER,https://www.aliexpress.us/item/3256805115817349.html?spm=a2g0o.cart.0.0.765938daCeJANz&mp=1&pdp_npi=5%40dis%21USD%21USD%203.46%21USD%203.46%21%21USD%203.43%21%21%21%402101f11417614462386586215ea526%2112000038599641962%21ct%21US%213108417632%21%211%210&_gl=1*1hyuy1y*_gcl_au*MTU0MTkyODcyNS4xNzYwMTQ1Mzcx*_ga*MjA2ODc0MDM2Ni4xNzYxNDQ1Mzgy*_ga_VED1YSGNC7*czE3NjE0NDUzODIkbzEkZzEkdDE3NjE0NDYyNDMkajYwJGwwJGgw&gatewayAdapt=glo2usa,3.06,1,$3.06,,,
